name,type,year,url,gender,organization,age,country,current_country,description
Jody Williams,peace,1997,https://www.nobelprize.org/nobel_prizes/peace/laureates/1997/williams-facts.html,female,FALSE,47,USA,USA,for their work for the banning and clearing of anti-personnel mines
Dario Fo,literature,1997,https://www.nobelprize.org/nobel_prizes/literature/laureates/1997/fo-facts.html,male,FALSE,71,Italy,Italy,who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden
Wislawa Szymborska,literature,1996,https://www.nobelprize.org/nobel_prizes/literature/laureates/1996/szymborska-facts.html,female,FALSE,73,Poland,Poland,for poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality
Peter C. Doherty,medicine,1996,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1996/doherty-facts.html,male,FALSE,56,Australia,Australia,for their discoveries concerning the specificity of the cell mediated immune defence
Rolf M. Zinkernagel,medicine,1996,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1996/zinkernagel-facts.html,male,FALSE,52,Switzerland,Switzerland,for their discoveries concerning the specificity of the cell mediated immune defence
Robert F. Curl Jr.,chemistry,1996,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1996/curl-facts.html,male,FALSE,63,USA,USA,for their discovery of fullerenes
Sir Harold W. Kroto,chemistry,1996,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1996/kroto-facts.html,male,FALSE,57,United Kingdom,United Kingdom,for their discovery of fullerenes
Richard E. Smalley,chemistry,1996,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1996/smalley-facts.html,male,FALSE,53,USA,USA,for their discovery of fullerenes
David M. Lee,physics,1996,https://www.nobelprize.org/nobel_prizes/physics/laureates/1996/lee-facts.html,male,FALSE,65,USA,USA,for their discovery of superfluidity in helium-3
Douglas D. Osheroff,physics,1996,https://www.nobelprize.org/nobel_prizes/physics/laureates/1996/osheroff-facts.html,male,FALSE,51,USA,USA,for their discovery of superfluidity in helium-3
Robert C. Richardson,physics,1996,https://www.nobelprize.org/nobel_prizes/physics/laureates/1996/richardson-facts.html,male,FALSE,59,USA,USA,for their discovery of superfluidity in helium-3
James A. Mirrlees,economics,1996,https://www.nobelprize.org/nobel_prizes/economics/laureates/1996/mirrlees-facts.html,male,FALSE,60,Scotland,Scotland,for their fundamental contributions to the economic theory of incentives under asymmetric information
William Vickrey,economics,1996,https://www.nobelprize.org/nobel_prizes/economics/laureates/1996/vickrey-facts.html,male,FALSE,82,Canada,Canada,for their fundamental contributions to the economic theory of incentives under asymmetric information
Carlos Filipe Ximenes Belo,peace,1996,https://www.nobelprize.org/nobel_prizes/peace/laureates/1996/belo-facts.html,male,FALSE,48,East Timor,East Timor,for their work towards a just and peaceful solution to the conflict in East Timor
Jose Ramos-Horta,peace,1996,https://www.nobelprize.org/nobel_prizes/peace/laureates/1996/ramos-horta-facts.html,male,FALSE,47,East Timor,East Timor,for their work towards a just and peaceful solution to the conflict in East Timor
Robert E. Lucas Jr.,economics,1995,https://www.nobelprize.org/nobel_prizes/economics/laureates/1995/lucas-facts.html,male,FALSE,58,USA,USA,"for having developed and applied the hypothesis of rational expectations, and thereby having transformed macroeconomic analysis and deepened our understanding of economic policy"
Martin L. Perl,physics,1995,https://www.nobelprize.org/nobel_prizes/physics/laureates/1995/perl-facts.html,male,FALSE,68,USA,USA,for the discovery of the tau lepton
Frederick Reines,physics,1995,https://www.nobelprize.org/nobel_prizes/physics/laureates/1995/reines-facts.html,male,FALSE,77,USA,USA,for the detection of the neutrino
Edward B. Lewis,medicine,1995,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1995/lewis-facts.html,male,FALSE,77,USA,USA,for their discoveries concerning the genetic control of early embryonic development
Christiane Nusslein-Volhard,medicine,1995,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1995/nusslein-volhard-facts.html,female,FALSE,53,Germany,Germany,for their discoveries concerning the genetic control of early embryonic development
Eric F. Wieschaus,medicine,1995,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1995/wieschaus-facts.html,male,FALSE,48,USA,USA,for their discoveries concerning the genetic control of early embryonic development
Joseph Rotblat,peace,1995,https://www.nobelprize.org/nobel_prizes/peace/laureates/1995/rotblat-facts.html,male,FALSE,87,Russian Empire,Poland,"for their efforts to diminish the part played by nuclear arms in international politics and, in the longer run, to eliminate such arms"
Pugwash Conferences on Science and World Affairs,peace,1995,https://www.nobelprize.org/nobel_prizes/peace/laureates/1995/pugwash-facts.html,org,TRUE,,,,"for their efforts to diminish the part played by nuclear arms in international politics and, in the longer run, to eliminate such arms"
Paul J. Crutzen,chemistry,1995,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1995/crutzen-facts.html,male,FALSE,62,the Netherlands,the Netherlands,"for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone"
Mario J. Molina,chemistry,1995,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1995/molina-facts.html,male,FALSE,52,Mexico,Mexico,"for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone"
F. Sherwood Rowland,chemistry,1995,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1995/rowland-facts.html,male,FALSE,68,USA,USA,"for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone"
Seamus Heaney,literature,1995,https://www.nobelprize.org/nobel_prizes/literature/laureates/1995/heaney-facts.html,male,FALSE,56,Northern Ireland,Northern Ireland,"for works of lyrical beauty and ethical depth, which exalt everyday miracles and the living past"
George A. Olah,chemistry,1994,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1994/olah-facts.html,male,FALSE,67,Hungary,Hungary,for his contribution to carbocation chemistry
Bertram N. Brockhouse,physics,1994,https://www.nobelprize.org/nobel_prizes/physics/laureates/1994/brockhouse-facts.html,male,FALSE,76,Canada,Canada,for the development of neutron spectroscopy
Clifford G. Shull,physics,1994,https://www.nobelprize.org/nobel_prizes/physics/laureates/1994/shull-facts.html,male,FALSE,79,USA,USA,for the development of the neutron diffraction technique
Alfred G. Gilman,medicine,1994,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1994/gilman-facts.html,male,FALSE,53,USA,USA,for their discovery of G-proteins and the role of these proteins in signal transduction in cells
Martin Rodbell,medicine,1994,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1994/rodbell-facts.html,male,FALSE,69,USA,USA,for their discovery of G-proteins and the role of these proteins in signal transduction in cells
Yasser Arafat,peace,1994,https://www.nobelprize.org/nobel_prizes/peace/laureates/1994/arafat-facts.html,male,FALSE,65,Egypt,Egypt,for their efforts to create peace in the Middle East
Shimon Peres,peace,1994,https://www.nobelprize.org/nobel_prizes/peace/laureates/1994/peres-facts.html,male,FALSE,71,Poland,Belarus,for their efforts to create peace in the Middle East
Yitzhak Rabin,peace,1994,https://www.nobelprize.org/nobel_prizes/peace/laureates/1994/rabin-facts.html,male,FALSE,72,British Mandate of Palestine,Israel,for their efforts to create peace in the Middle East
John C. Harsanyi,economics,1994,https://www.nobelprize.org/nobel_prizes/economics/laureates/1994/harsanyi-facts.html,male,FALSE,74,Hungary,Hungary,for their pioneering analysis of equilibria in the theory of non-cooperative games
John F. Nash Jr.,economics,1994,https://www.nobelprize.org/nobel_prizes/economics/laureates/1994/nash-facts.html,male,FALSE,66,USA,USA,for their pioneering analysis of equilibria in the theory of non-cooperative games
Reinhard Selten,economics,1994,https://www.nobelprize.org/nobel_prizes/economics/laureates/1994/selten-facts.html,male,FALSE,64,Germany,Poland,for their pioneering analysis of equilibria in the theory of non-cooperative games
Kenzaburo Oe,literature,1994,https://www.nobelprize.org/nobel_prizes/literature/laureates/1994/oe-facts.html,male,FALSE,59,Japan,Japan,"who with poetic force creates an imagined world, where life and myth condense to form a disconcerting picture of the human predicament today"
Kary B. Mullis,chemistry,1993,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1993/mullis-facts.html,male,FALSE,49,USA,USA,for his invention of the polymerase chain reaction (PCR) method
Michael Smith,chemistry,1993,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1993/smith-facts.html,male,FALSE,61,United Kingdom,United Kingdom,"for his fundamental contributions to the establishment of oligonucleotide-based, site-directed mutagenesis and its development for protein studies"
Robert W. Fogel,economics,1993,https://www.nobelprize.org/nobel_prizes/economics/laureates/1993/fogel-facts.html,male,FALSE,67,USA,USA,for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change
Douglass C. North,economics,1993,https://www.nobelprize.org/nobel_prizes/economics/laureates/1993/north-facts.html,male,FALSE,73,USA,USA,for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change
Russell A. Hulse,physics,1993,https://www.nobelprize.org/nobel_prizes/physics/laureates/1993/hulse-facts.html,male,FALSE,43,USA,USA,"for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation"
Joseph H. Taylor Jr.,physics,1993,https://www.nobelprize.org/nobel_prizes/physics/laureates/1993/taylor-facts.html,male,FALSE,52,USA,USA,"for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation"
Richard J. Roberts,medicine,1993,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1993/roberts-facts.html,male,FALSE,50,United Kingdom,United Kingdom,for their discoveries of split genes
Phillip A. Sharp,medicine,1993,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1993/sharp-facts.html,male,FALSE,49,USA,USA,for their discoveries of split genes
Nelson Mandela,peace,1993,https://www.nobelprize.org/nobel_prizes/peace/laureates/1993/mandela-facts.html,male,FALSE,75,South Africa,South Africa,"for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new democratic South Africa"
Frederik Willem de Klerk,peace,1993,https://www.nobelprize.org/nobel_prizes/peace/laureates/1993/klerk-facts.html,male,FALSE,57,South Africa,South Africa,"for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new democratic South Africa"
Toni Morrison,literature,1993,https://www.nobelprize.org/nobel_prizes/literature/laureates/1993/morrison-facts.html,female,FALSE,62,USA,USA,"who in novels characterized by visionary force and poetic import, gives life to an essential aspect of American reality"
Derek Walcott,literature,1992,https://www.nobelprize.org/nobel_prizes/literature/laureates/1992/walcott-facts.html,male,FALSE,62,Saint Lucia,Saint Lucia,"for a poetic oeuvre of great luminosity, sustained by a historical vision, the outcome of a multicultural commitment"
Gary S. Becker,economics,1992,https://www.nobelprize.org/nobel_prizes/economics/laureates/1992/becker-facts.html,male,FALSE,62,USA,USA,"for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction, including nonmarket behaviour"
Rudolph A. Marcus,chemistry,1992,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1992/marcus-facts.html,male,FALSE,69,Canada,Canada,for his contributions to the theory of electron transfer reactions in chemical systems
Georges Charpak,physics,1992,https://www.nobelprize.org/nobel_prizes/physics/laureates/1992/charpak-facts.html,male,FALSE,68,Poland,Poland,"for his invention and development of particle detectors, in particular the multiwire proportional chamber"
Edmond H. Fischer,medicine,1992,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1992/fischer-facts.html,male,FALSE,72,China,China,for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism
Edwin G. Krebs,medicine,1992,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1992/krebs-facts.html,male,FALSE,74,USA,USA,for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism
Rigoberta Menchu Tum,peace,1992,https://www.nobelprize.org/nobel_prizes/peace/laureates/1992/tum-facts.html,female,FALSE,33,Guatemala,Guatemala,in recognition of her work for social justice and ethno-cultural reconciliation based on respect for the rights of indigenous peoples
Pierre-Gilles de Gennes,physics,1991,https://www.nobelprize.org/nobel_prizes/physics/laureates/1991/gennes-facts.html,male,FALSE,59,France,France,"for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter, in particular to liquid crystals and polymers"
Aung San Suu Kyi,peace,1991,https://www.nobelprize.org/nobel_prizes/peace/laureates/1991/kyi-facts.html,female,FALSE,46,Burma,Myanmar,for her non-violent struggle for democracy and human rights
Richard R. Ernst,chemistry,1991,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1991/ernst-facts.html,male,FALSE,58,Switzerland,Switzerland,for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy
Ronald H. Coase,economics,1991,https://www.nobelprize.org/nobel_prizes/economics/laureates/1991/coase-facts.html,male,FALSE,81,United Kingdom,United Kingdom,for his discovery and clarification of the significance of transaction costs and property rights for the institutional structure and functioning of the economy
Erwin Neher,medicine,1991,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1991/neher-facts.html,male,FALSE,47,Germany,Germany,for their discoveries concerning the function of single ion channels in cells
Bert Sakmann,medicine,1991,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1991/sakmann-facts.html,male,FALSE,49,Germany,Germany,for their discoveries concerning the function of single ion channels in cells
Nadine Gordimer,literature,1991,https://www.nobelprize.org/nobel_prizes/literature/laureates/1991/gordimer-facts.html,female,FALSE,68,South Africa,South Africa,who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity
Elias James Corey,chemistry,1990,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1990/corey-facts.html,male,FALSE,62,USA,USA,for his development of the theory and methodology of organic synthesis
Mikhail Sergeyevich Gorbachev,peace,1990,https://www.nobelprize.org/nobel_prizes/peace/laureates/1990/gorbachev-facts.html,male,FALSE,59,USSR,Russia,for his leading role in the peace process which today characterizes important parts of the international community
Octavio Paz,literature,1990,https://www.nobelprize.org/nobel_prizes/literature/laureates/1990/paz-facts.html,male,FALSE,76,Mexico,Mexico,"for impassioned writing with wide horizons, characterized by sensuous intelligence and humanistic integrity"
Joseph E. Murray,medicine,1990,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1990/murray-facts.html,male,FALSE,71,USA,USA,for their discoveries concerning organ and cell transplantation in the treatment of human disease
E. Donnall Thomas,medicine,1990,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1990/thomas-facts.html,male,FALSE,70,USA,USA,for their discoveries concerning organ and cell transplantation in the treatment of human disease
Jerome I. Friedman,physics,1990,https://www.nobelprize.org/nobel_prizes/physics/laureates/1990/friedman-facts.html,male,FALSE,60,USA,USA,"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics"
Henry W. Kendall,physics,1990,https://www.nobelprize.org/nobel_prizes/physics/laureates/1990/kendall-facts.html,male,FALSE,64,USA,USA,"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics"
Richard E. Taylor,physics,1990,https://www.nobelprize.org/nobel_prizes/physics/laureates/1990/taylor-facts.html,male,FALSE,61,Canada,Canada,"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics"
Harry M. Markowitz,economics,1990,https://www.nobelprize.org/nobel_prizes/economics/laureates/1990/markowitz-facts.html,male,FALSE,63,USA,USA,for their pioneering work in the theory of financial economics
Merton H. Miller,economics,1990,https://www.nobelprize.org/nobel_prizes/economics/laureates/1990/miller-facts.html,male,FALSE,67,USA,USA,for their pioneering work in the theory of financial economics
William F. Sharpe,economics,1990,https://www.nobelprize.org/nobel_prizes/economics/laureates/1990/sharpe-facts.html,male,FALSE,56,USA,USA,for their pioneering work in the theory of financial economics
Camilo Jose Cela,literature,1989,https://www.nobelprize.org/nobel_prizes/literature/laureates/1989/cela-facts.html,male,FALSE,73,Spain,Spain,"for a rich and intensive prose, which with restrained compassion forms a challenging vision of man's vulnerability"
Trygve Haavelmo,economics,1989,https://www.nobelprize.org/nobel_prizes/economics/laureates/1989/haavelmo-facts.html,male,FALSE,78,Norway,Norway,for his clarification of the probability theory foundations of econometrics and his analyses of simultaneous economic structures
Norman F. Ramsey,physics,1989,https://www.nobelprize.org/nobel_prizes/physics/laureates/1989/ramsey-facts.html,male,FALSE,74,USA,USA,for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks
Hans G. Dehmelt,physics,1989,https://www.nobelprize.org/nobel_prizes/physics/laureates/1989/dehmelt-facts.html,male,FALSE,67,Prussia,Germany,for the development of the ion trap technique
Wolfgang Paul,physics,1989,https://www.nobelprize.org/nobel_prizes/physics/laureates/1989/paul-facts.html,male,FALSE,76,Germany,Germany,for the development of the ion trap technique
Sidney Altman,chemistry,1989,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1989/altman-facts.html,male,FALSE,50,Canada,Canada,for their discovery of catalytic properties of RNA
Thomas R. Cech,chemistry,1989,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1989/cech-facts.html,male,FALSE,42,USA,USA,for their discovery of catalytic properties of RNA
J. Michael Bishop,medicine,1989,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1989/bishop-facts.html,male,FALSE,53,USA,USA,for their discovery of the cellular origin of retroviral oncogenes
Harold E. Varmus,medicine,1989,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1989/varmus-facts.html,male,FALSE,50,USA,USA,for their discovery of the cellular origin of retroviral oncogenes
The 14th Dalai Lama (Tenzin Gyatso),peace,1989,https://www.nobelprize.org/nobel_prizes/peace/laureates/1989/lama-facts.html,male,FALSE,54,Tibet,People's Republic of China,
Maurice Allais,economics,1988,https://www.nobelprize.org/nobel_prizes/economics/laureates/1988/allais-facts.html,male,FALSE,77,France,France,for his pioneering contributions to the theory of markets and efficient utilization of resources
Johann Deisenhofer,chemistry,1988,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1988/deisenhofer-facts.html,male,FALSE,45,Germany,Germany,for the determination of the three-dimensional structure of a photosynthetic reaction centre
Robert Huber,chemistry,1988,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1988/huber-facts.html,male,FALSE,51,Germany,Germany,for the determination of the three-dimensional structure of a photosynthetic reaction centre
Hartmut Michel,chemistry,1988,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1988/michel-facts.html,male,FALSE,40,West Germany,Germany,for the determination of the three-dimensional structure of a photosynthetic reaction centre
Leon M. Lederman,physics,1988,https://www.nobelprize.org/nobel_prizes/physics/laureates/1988/lederman-facts.html,male,FALSE,66,USA,USA,for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino
Melvin Schwartz,physics,1988,https://www.nobelprize.org/nobel_prizes/physics/laureates/1988/schwartz-facts.html,male,FALSE,56,USA,USA,for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino
Jack Steinberger,physics,1988,https://www.nobelprize.org/nobel_prizes/physics/laureates/1988/steinberger-facts.html,male,FALSE,67,Germany,Germany,for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino
Sir James W. Black,medicine,1988,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1988/black-facts.html,male,FALSE,64,Scotland,Scotland,for their discoveries of important principles for drug treatment
Gertrude B. Elion,medicine,1988,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1988/elion-facts.html,female,FALSE,70,USA,USA,for their discoveries of important principles for drug treatment
George H. Hitchings,medicine,1988,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1988/hitchings-facts.html,male,FALSE,83,USA,USA,for their discoveries of important principles for drug treatment
Naguib Mahfouz,literature,1988,https://www.nobelprize.org/nobel_prizes/literature/laureates/1988/mahfouz-facts.html,male,FALSE,77,Egypt,Egypt,"who, through works rich in nuance - now clear-sightedly realistic, now evocatively ambiguous - has formed an Arabian narrative art that applies to all mankind"
United Nations Peacekeeping Forces,peace,1988,https://www.nobelprize.org/nobel_prizes/peace/laureates/1988/un-facts.html,org,TRUE,,,,
Joseph Brodsky,literature,1987,https://www.nobelprize.org/nobel_prizes/literature/laureates/1987/brodsky-facts.html,male,FALSE,47,USSR,Russia,"for an all-embracing authorship, imbued with clarity of thought and poetic intensity"
Robert M. Solow,economics,1987,https://www.nobelprize.org/nobel_prizes/economics/laureates/1987/solow-facts.html,male,FALSE,63,USA,USA,for his contributions to the theory of economic growth
Susumu Tonegawa,medicine,1987,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1987/tonegawa-facts.html,male,FALSE,48,Japan,Japan,for his discovery of the genetic principle for generation of antibody diversity
Oscar Arias Sanchez,peace,1987,https://www.nobelprize.org/nobel_prizes/peace/laureates/1987/arias-facts.html,male,FALSE,46,Costa Rica,Costa Rica,"for his work for peace in Central America, efforts which led to the accord signed in Guatemala on August 7 this year"
Donald J. Cram,chemistry,1987,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1987/cram-facts.html,male,FALSE,68,USA,USA,for their development and use of molecules with structure-specific interactions of high selectivity
Jean-Marie Lehn,chemistry,1987,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1987/lehn-facts.html,male,FALSE,48,France,France,for their development and use of molecules with structure-specific interactions of high selectivity
Charles J. Pedersen,chemistry,1987,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1987/pedersen-facts.html,male,FALSE,83,Korea,South Korea,for their development and use of molecules with structure-specific interactions of high selectivity
J. Georg Bednorz,physics,1987,https://www.nobelprize.org/nobel_prizes/physics/laureates/1987/bednorz-facts.html,male,FALSE,37,West Germany,Germany,for their important break-through in the discovery of superconductivity in ceramic materials
K. Alexander Muller,physics,1987,https://www.nobelprize.org/nobel_prizes/physics/laureates/1987/muller-facts.html,male,FALSE,60,Switzerland,Switzerland,for their important break-through in the discovery of superconductivity in ceramic materials
James M. Buchanan Jr.,economics,1986,https://www.nobelprize.org/nobel_prizes/economics/laureates/1986/buchanan-facts.html,male,FALSE,67,USA,USA,for his development of the contractual and constitutional bases for the theory of economic and political decision-making
Ernst Ruska,physics,1986,https://www.nobelprize.org/nobel_prizes/physics/laureates/1986/ruska-facts.html,male,FALSE,80,Germany,Germany,"for his fundamental work in electron optics, and for the design of the first electron microscope"
Gerd Binnig,physics,1986,https://www.nobelprize.org/nobel_prizes/physics/laureates/1986/binnig-facts.html,male,FALSE,39,West Germany,Germany,for their design of the scanning tunneling microscope
Heinrich Rohrer,physics,1986,https://www.nobelprize.org/nobel_prizes/physics/laureates/1986/rohrer-facts.html,male,FALSE,53,Switzerland,Switzerland,for their design of the scanning tunneling microscope
Dudley R. Herschbach,chemistry,1986,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1986/herschbach-facts.html,male,FALSE,54,USA,USA,for their contributions concerning the dynamics of chemical elementary processes
Yuan T. Lee,chemistry,1986,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1986/lee-facts.html,male,FALSE,50,Taiwan,Taiwan,for their contributions concerning the dynamics of chemical elementary processes
John C. Polanyi,chemistry,1986,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1986/polanyi-facts.html,male,FALSE,57,Germany,Germany,for their contributions concerning the dynamics of chemical elementary processes
Stanley Cohen,medicine,1986,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1986/cohen-facts.html,male,FALSE,64,USA,USA,for their discoveries of growth factors
Rita Levi-Montalcini,medicine,1986,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1986/levi-montalcini-facts.html,female,FALSE,77,Italy,Italy,for their discoveries of growth factors
Wole Soyinka,literature,1986,https://www.nobelprize.org/nobel_prizes/literature/laureates/1986/soyinka-facts.html,male,FALSE,52,Nigeria,Nigeria,who in a wide cultural perspective and with poetic overtones fashions the drama of existence
Elie Wiesel,peace,1986,https://www.nobelprize.org/nobel_prizes/peace/laureates/1986/wiesel-facts.html,male,FALSE,58,Romania,Romania,
Franco Modigliani,economics,1985,https://www.nobelprize.org/nobel_prizes/economics/laureates/1985/modigliani-facts.html,male,FALSE,67,Italy,Italy,for his pioneering analyses of saving and of financial markets
Klaus von Klitzing,physics,1985,https://www.nobelprize.org/nobel_prizes/physics/laureates/1985/klitzing-facts.html,male,FALSE,42,German-occupied Poland,Poland,for the discovery of the quantized Hall effect
Michael S. Brown,medicine,1985,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1985/brown-facts.html,male,FALSE,44,USA,USA,for their discoveries concerning the regulation of cholesterol metabolism
Joseph L. Goldstein,medicine,1985,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1985/goldstein-facts.html,male,FALSE,45,USA,USA,for their discoveries concerning the regulation of cholesterol metabolism
Herbert A. Hauptman,chemistry,1985,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1985/hauptman-facts.html,male,FALSE,68,USA,USA,for their outstanding achievements in the development of direct methods for the determination of crystal structures
Jerome Karle,chemistry,1985,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1985/karle-facts.html,male,FALSE,67,USA,USA,for their outstanding achievements in the development of direct methods for the determination of crystal structures
Claude Simon,literature,1985,https://www.nobelprize.org/nobel_prizes/literature/laureates/1985/simon-facts.html,male,FALSE,72,Madagascar,Madagascar,who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition
International Physicians for the Prevention of Nuclear War,peace,1985,https://www.nobelprize.org/nobel_prizes/peace/laureates/1985/physicians-facts.html,org,TRUE,,,,
Richard Stone,economics,1984,https://www.nobelprize.org/nobel_prizes/economics/laureates/1984/stone-facts.html,male,FALSE,71,United Kingdom,United Kingdom,for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis
Robert Bruce Merrifield,chemistry,1984,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1984/merrifield-facts.html,male,FALSE,63,USA,USA,for his development of methodology for chemical synthesis on a solid matrix
Jaroslav Seifert,literature,1984,https://www.nobelprize.org/nobel_prizes/literature/laureates/1984/seifert-facts.html,male,FALSE,83,Austria-Hungary,Czech Republic,"for his poetry which endowed with freshness, sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man"
Carlo Rubbia,physics,1984,https://www.nobelprize.org/nobel_prizes/physics/laureates/1984/rubbia-facts.html,male,FALSE,50,Italy,Italy,"for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction"
Simon van der Meer,physics,1984,https://www.nobelprize.org/nobel_prizes/physics/laureates/1984/meer-facts.html,male,FALSE,59,the Netherlands,the Netherlands,"for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction"
Niels K. Jerne,medicine,1984,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1984/jerne-facts.html,male,FALSE,73,United Kingdom,United Kingdom,for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies
Georges J.F. Kohler,medicine,1984,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1984/kohler-facts.html,male,FALSE,38,Germany,Germany,for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies
Cesar Milstein,medicine,1984,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1984/milstein-facts.html,male,FALSE,57,Argentina,Argentina,for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies
Desmond Mpilo Tutu,peace,1984,https://www.nobelprize.org/nobel_prizes/peace/laureates/1984/tutu-facts.html,male,FALSE,53,South Africa,South Africa,
Gerard Debreu,economics,1983,https://www.nobelprize.org/nobel_prizes/economics/laureates/1983/debreu-facts.html,male,FALSE,62,France,France,for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium
Barbara McClintock,medicine,1983,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1983/mcclintock-facts.html,female,FALSE,81,USA,USA,for her discovery of mobile genetic elements
William Golding,literature,1983,https://www.nobelprize.org/nobel_prizes/literature/laureates/1983/golding-facts.html,male,FALSE,72,United Kingdom,United Kingdom,"for his novels which, with the perspicuity of realistic narrative art and the diversity and universality of myth, illuminate the human condition in the world of today"
